Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,2000
1,0,2,500,2000
2,0,2,989,2000
3,0,331,1145,2000
4,0,814,1147,2000
5,0,850,1150,2000
6,0,848,1152,0
7,0,848,1152,0
8,0,848,1152,0
9,0,848,1152,0
10,0,846,1154,0
11,0,845,1155,0
12,0,845,1155,0
13,0,845,1155,0
14,0,845,1155,0
15,0,845,1155,0
16,0,845,1155,0
17,0,845,1155,0
18,0,843,1157,0
19,0,842,1158,0
20,0,842,1158,0
21,0,842,1158,0
22,0,842,1158,0
23,0,842,1158,0
24,0,842,1158,0
25,0,842,1158,0
26,0,842,1158,0
27,0,842,1158,0
28,0,842,1158,0
29,0,842,1158,0
30,0,842,1158,0
31,0,842,1158,0
32,0,842,1158,0
33,0,842,1158,0
34,0,840,1160,0
35,0,839,1161,0
36,0,839,1161,0
37,0,839,1161,0
38,0,839,1161,0
39,0,839,1161,0
40,0,839,1161,0
41,0,839,1161,0
42,0,839,1161,0
43,0,839,1161,0
44,0,839,1161,0
45,0,839,1161,0
46,0,839,1161,0
47,0,839,1161,0
48,0,839,1161,0
49,0,839,1161,0
50,0,839,1161,0
51,0,839,1161,0
52,0,839,1161,0
53,0,839,1161,0
54,0,839,1161,0
55,0,839,1161,0
56,0,839,1161,0
57,0,839,1161,0
58,0,839,1161,0
59,0,839,1161,0
60,0,839,1161,0
61,0,839,1161,0
62,0,839,1161,0
63,0,839,1161,0
64,0,839,1161,0
65,0,837,1163,0
66,0,837,1163,0
67,0,835,1165,0
68,0,835,1165,0
69,0,835,1165,0
70,0,835,1165,0
71,0,835,1165,0
72,0,835,1165,0
73,0,835,1165,0
74,0,835,1165,0
75,0,835,1165,0
76,0,835,1165,2000
77,0,835,1165,2000
78,0,835,1165,2000
79,0,835,1165,2000
80,0,835,1165,2000
81,0,835,1165,2000
82,0,835,1165,2000
83,0,835,1165,2000
84,0,835,1165,2000
85,0,835,1165,2000
86,0,835,1165,2000
87,0,835,1165,2000
88,0,835,1165,2000
89,0,835,1165,2000
90,0,835,1165,2000
91,0,835,1165,2000
92,0,835,1165,2000
93,0,835,1165,2000
94,0,835,1165,2000
95,0,835,1165,2000
96,0,835,1165,2000
97,0,835,1165,2000
98,0,835,1165,2000
99,0,835,1165,2000
100,0,835,1165,2000
101,0,835,1165,2000
102,0,835,1165,2000
103,0,835,1165,2000
104,0,835,1165,2000
105,0,835,1165,2000
106,0,835,1165,2000
107,0,835,1165,2000
108,0,835,1165,2000
109,1,835,1164,2000
110,1,835,1164,2000
111,3,835,1162,2000
112,3,835,1162,2000
113,5,835,1160,2000
114,5,835,1160,2000
115,5,835,1160,2000
116,5,835,1160,2000
117,6,835,1159,2000
118,7,835,1158,2000
119,7,835,1158,2000
120,7,835,1158,2000
121,7,835,1158,2000
122,7,835,1158,2000
123,9,835,1156,2000
124,10,835,1155,2000
125,10,835,1155,2000
126,10,835,1155,2000
127,10,835,1155,2000
128,11,835,1154,2000
129,11,835,1154,2000
130,242,604,1154,2000
131,643,203,1154,2000
132,846,0,1154,2000
133,847,0,1153,2000
134,847,0,1153,2000
135,847,0,1153,2000
136,847,0,1153,2000
137,847,0,1153,2000
138,848,0,1152,2000
139,848,0,1152,2000
140,848,0,1152,2000
141,848,0,1152,2000
142,848,0,1152,2000
143,849,0,1151,2000
144,849,0,1151,2000
145,849,0,1151,2000
146,849,0,1151,2000
147,849,0,1151,2000
148,850,0,1150,2000
149,850,0,1150,2000
150,850,0,1150,2000
151,850,0,1150,2000
152,850,0,1150,2000
153,851,0,1149,2000
154,851,0,1149,2000
155,851,0,1149,2000
156,851,0,1149,2000
157,851,0,1149,2000
158,852,0,1148,2000
159,852,0,1148,2000
160,852,0,1148,2000
161,852,0,1148,2000
162,852,0,1148,2000
163,853,0,1147,2000
164,853,0,1147,2000
165,853,0,1147,2000
166,853,0,1147,2000
167,853,0,1147,2000
168,854,0,1146,2000
169,854,0,1146,2000
170,854,0,1146,2000
171,854,0,1146,2000
172,854,0,1146,2000
173,855,0,1145,2000
174,855,0,1145,2000
175,855,0,1145,2000
176,855,0,1145,2000
177,855,0,1145,2000
178,856,0,1144,2000
179,856,0,1144,2000
180,856,0,1144,2000
181,856,0,1144,2000
182,856,0,1144,2000
183,857,0,1143,2000
184,857,0,1143,2000
185,857,0,1143,2000
186,857,0,1143,2000
187,857,0,1143,2000
188,858,0,1142,2000
189,858,0,1142,2000
190,858,0,1142,2000
191,858,0,1142,2000
192,858,0,1142,2000
193,1872,0,128,2000
194,1872,0,128,2000
195,1872,0,128,2000
196,1872,0,128,2000
197,1872,0,128,2000
198,1873,0,127,2000
199,1873,0,127,2000
200,1873,0,127,2000
201,1875,0,125,2000
202,1875,0,125,2000
203,1875,0,125,2000
204,1875,0,125,2000
205,1875,0,125,2000
206,1875,0,125,2000
207,1875,0,125,2000
208,1875,0,125,2000
209,1875,0,125,2000
210,1875,0,125,2000
211,1875,0,125,2000
212,1875,0,125,2000
213,1875,0,125,2000
214,1875,0,125,2000
215,1875,0,125,2000
216,1875,0,125,2000
217,1875,0,125,2000
218,1875,0,125,2000
219,1875,0,125,2000
220,1875,0,125,2000
221,1875,0,125,2000
222,1875,0,125,2000
223,1875,0,125,2000
224,1875,0,125,2000
225,1875,0,125,2000
226,1875,0,125,2000
227,1875,0,125,2000
228,1875,0,125,2000
229,1875,0,125,2000
230,1875,0,125,2000
231,1875,0,125,2000
232,1875,0,125,2000
233,1875,0,125,2000
234,1875,0,125,2000
235,1875,0,125,2000
236,1875,0,125,2000
237,1875,0,125,2000
238,1875,0,125,2000
239,1875,0,125,2000
240,1875,0,125,2000
241,1875,0,125,2000
