Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,2000
1,0,2,187,2000
2,0,2,372,2000
3,0,2,555,2000
4,0,2,737,2000
5,0,2,919,2000
6,0,2,1100,2000
7,0,139,1144,2000
8,0,316,1146,2000
9,0,495,1148,0
10,0,672,1150,0
11,0,845,1155,0
12,0,843,1157,0
13,0,840,1160,0
14,0,840,1160,0
15,0,838,1162,0
16,0,833,1167,0
17,0,831,1169,0
18,0,830,1170,0
19,0,830,1170,0
20,0,830,1170,0
21,0,828,1172,0
22,0,828,1172,0
23,0,826,1174,0
24,0,824,1176,0
25,0,823,1177,0
26,0,820,1180,0
27,0,820,1180,0
28,0,820,1180,0
29,0,820,1180,0
30,0,820,1180,0
31,0,820,1180,0
32,0,820,1180,0
33,0,820,1180,0
34,0,820,1180,0
35,0,820,1180,0
36,0,820,1180,0
37,0,819,1181,0
38,0,817,1183,0
39,0,815,1185,0
40,0,813,1187,0
41,0,805,1195,0
42,0,803,1197,0
43,0,803,1197,0
44,0,803,1197,0
45,0,803,1197,0
46,0,803,1197,0
47,0,803,1197,0
48,0,803,1197,0
49,0,803,1197,0
50,0,803,1197,0
51,0,803,1197,0
52,0,803,1197,0
53,0,803,1197,0
54,0,803,1197,0
55,0,803,1197,0
56,0,803,1197,0
57,0,803,1197,0
58,0,803,1197,0
59,0,803,1197,0
60,0,803,1197,0
61,0,803,1197,0
62,0,803,1197,0
63,0,803,1197,0
64,0,803,1197,0
65,0,803,1197,0
66,2,803,1195,0
67,2,803,1195,0
68,2,803,1195,0
69,2,803,1195,0
70,2,802,1196,0
71,4,800,1196,0
72,4,790,1206,0
73,4,788,1208,0
74,4,786,1210,0
75,4,786,1210,0
76,6,786,1208,0
77,6,786,1208,2000
78,6,786,1208,2000
79,6,786,1208,2000
80,6,786,1208,2000
81,8,786,1206,2000
82,8,786,1206,2000
83,8,786,1206,2000
84,8,786,1206,2000
85,8,786,1206,2000
86,10,786,1204,2000
87,10,786,1204,2000
88,10,786,1204,2000
89,10,786,1204,2000
90,10,786,1204,2000
91,12,786,1202,2000
92,12,786,1202,2000
93,12,786,1202,2000
94,12,786,1202,2000
95,12,786,1202,2000
96,14,786,1200,2000
97,14,786,1200,2000
98,14,786,1200,2000
99,14,786,1200,2000
100,14,786,1200,2000
101,16,786,1198,2000
102,16,786,1198,2000
103,16,786,1198,2000
104,16,786,1198,2000
105,16,786,1198,2000
106,18,786,1196,2000
107,18,786,1196,2000
108,18,786,1196,2000
109,18,786,1196,2000
110,18,786,1196,2000
111,22,786,1192,2000
112,24,786,1190,2000
113,26,786,1188,2000
114,26,786,1188,2000
115,26,786,1188,2000
116,28,786,1186,2000
117,28,786,1186,2000
118,28,786,1186,2000
119,28,786,1186,2000
120,28,786,1186,2000
121,30,786,1184,2000
122,30,786,1184,2000
123,32,786,1182,2000
124,34,786,1180,2000
125,36,786,1178,2000
126,38,786,1176,2000
127,42,786,1172,2000
128,44,786,1170,2000
129,46,786,1168,2000
130,47,786,1167,2000
131,47,786,1167,2000
132,49,786,1165,2000
133,49,786,1165,2000
134,132,703,1165,2000
135,306,529,1165,2000
136,474,365,1161,2000
137,623,216,1161,2000
138,795,44,1161,2000
139,839,0,1161,2000
140,839,0,1161,2000
141,839,0,1161,2000
142,839,0,1161,2000
143,839,0,1161,2000
144,839,0,1161,2000
145,839,0,1161,2000
146,839,0,1161,2000
147,839,0,1161,2000
148,839,0,1161,2000
149,839,0,1161,2000
150,839,0,1161,2000
151,839,0,1161,2000
152,839,0,1161,2000
153,839,0,1161,2000
154,839,0,1161,2000
155,839,0,1161,2000
156,839,0,1161,2000
157,839,0,1161,2000
158,839,0,1161,2000
159,839,0,1161,2000
160,839,0,1161,2000
161,839,0,1161,2000
162,839,0,1161,2000
163,839,0,1161,2000
164,839,0,1161,2000
165,839,0,1161,2000
166,839,0,1161,2000
167,839,0,1161,2000
168,839,0,1161,2000
169,839,0,1161,2000
170,839,0,1161,2000
171,839,0,1161,2000
172,839,0,1161,2000
173,839,0,1161,2000
174,839,0,1161,2000
175,839,0,1161,2000
176,839,0,1161,2000
177,839,0,1161,2000
178,839,0,1161,2000
179,839,0,1161,2000
180,839,0,1161,2000
181,839,0,1161,2000
182,839,0,1161,2000
183,839,0,1161,2000
184,839,0,1161,2000
185,839,0,1161,2000
186,839,0,1161,2000
187,839,0,1161,2000
188,839,0,1161,2000
189,839,0,1161,2000
190,839,0,1161,2000
191,946,0,1054,2000
192,1070,0,930,2000
193,1070,0,930,2000
194,1070,0,930,2000
195,1070,0,930,2000
196,1851,0,149,2000
197,1851,0,149,2000
198,1851,0,149,2000
199,1851,0,149,2000
200,1851,0,149,2000
201,1851,0,149,2000
202,1851,0,149,2000
203,1851,0,149,2000
204,1851,0,149,2000
205,1851,0,149,2000
206,1851,0,149,2000
207,1851,0,149,2000
208,1851,0,149,2000
209,1851,0,149,2000
210,1851,0,149,2000
211,1851,0,149,2000
212,1851,0,149,2000
213,1851,0,149,2000
214,1851,0,149,2000
215,1851,0,149,2000
216,1851,0,149,2000
217,1851,0,149,2000
218,1851,0,149,2000
219,1851,0,149,2000
220,1851,0,149,2000
221,1851,0,149,2000
222,1851,0,149,2000
223,1851,0,149,2000
224,1851,0,149,2000
225,1851,0,149,2000
226,1851,0,149,2000
227,1851,0,149,2000
228,1851,0,149,2000
229,1851,0,149,2000
230,1851,0,149,2000
231,1851,0,149,2000
232,1851,0,149,2000
233,1851,0,149,2000
234,1851,0,149,2000
235,1851,0,149,2000
236,1851,0,149,2000
237,1851,0,149,2000
238,1851,0,149,2000
239,1851,0,149,2000
240,1851,0,149,2000
241,1851,0,149,2000
