Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1500
1,0,1,706,1500
2,0,239,1145,1500
3,0,353,1147,1500
4,0,351,1149,1500
5,0,351,1149,1500
6,0,351,1149,0
7,0,351,1149,0
8,0,351,1149,0
9,0,349,1151,0
10,0,349,1151,0
11,0,349,1151,0
12,0,349,1151,0
13,0,349,1151,0
14,0,349,1151,0
15,0,349,1151,0
16,0,349,1151,0
17,0,347,1153,0
18,0,347,1153,0
19,0,347,1153,0
20,0,347,1153,0
21,0,347,1153,0
22,0,347,1153,0
23,0,347,1153,0
24,0,347,1153,0
25,0,347,1153,0
26,0,347,1153,0
27,0,347,1153,0
28,0,347,1153,0
29,0,347,1153,0
30,0,347,1153,0
31,0,347,1153,0
32,0,347,1153,0
33,0,345,1155,0
34,0,345,1155,0
35,0,345,1155,0
36,0,345,1155,0
37,0,345,1155,0
38,0,345,1155,0
39,0,345,1155,0
40,0,345,1155,0
41,0,345,1155,0
42,0,345,1155,0
43,0,345,1155,0
44,0,345,1155,0
45,0,345,1155,0
46,0,345,1155,0
47,0,345,1155,0
48,0,345,1155,0
49,0,345,1155,0
51,0,345,1155,0
52,0,345,1155,0
53,0,345,1155,0
54,0,345,1155,0
55,0,345,1155,0
56,0,345,1155,0
57,0,345,1155,0
58,0,345,1155,0
59,0,345,1155,0
60,0,345,1155,0
61,0,345,1155,0
62,0,345,1155,0
63,0,345,1155,0
64,0,344,1156,0
65,0,343,1157,0
66,0,343,1157,0
67,0,343,1157,0
68,0,343,1157,0
69,0,343,1157,0
70,0,343,1157,0
71,0,343,1157,0
72,0,343,1157,0
73,0,343,1157,0
74,0,343,1157,0
75,0,343,1157,0
76,0,343,1157,1500
77,0,343,1157,1500
78,0,343,1157,1500
79,0,343,1157,1500
80,0,343,1157,1500
81,0,343,1157,1500
82,0,343,1157,1500
83,0,343,1157,1500
84,0,343,1157,1500
85,0,343,1157,1500
86,0,343,1157,1500
87,0,343,1157,1500
88,0,343,1157,1500
89,0,343,1157,1500
90,0,343,1157,1500
91,0,343,1157,1500
92,0,343,1157,1500
93,0,343,1157,1500
94,0,343,1157,1500
95,0,343,1157,1500
96,0,343,1157,1500
97,0,343,1157,1500
98,0,343,1157,1500
99,0,343,1157,1500
100,0,343,1157,1500
101,0,343,1157,1500
102,0,343,1157,1500
103,0,343,1157,1500
104,0,343,1157,1500
105,0,343,1157,1500
106,0,343,1157,1500
107,0,343,1157,1500
108,0,343,1157,1500
109,1,343,1156,1500
110,3,343,1154,1500
111,3,343,1154,1500
112,4,343,1153,1500
113,4,343,1153,1500
114,4,343,1153,1500
115,4,343,1153,1500
116,5,343,1152,1500
117,5,343,1152,1500
118,5,343,1152,1500
119,5,343,1152,1500
120,5,343,1152,1500
121,5,343,1152,1500
122,5,343,1152,1500
123,5,343,1152,1500
124,5,343,1152,1500
125,5,343,1152,1500
126,5,343,1152,1500
127,6,343,1151,1500
128,6,343,1151,1500
129,29,320,1151,1500
130,349,0,1151,1500
131,349,0,1151,1500
132,350,0,1150,1500
133,350,0,1150,1500
134,350,0,1150,1500
135,350,0,1150,1500
136,350,0,1150,1500
137,351,0,1149,1500
138,351,0,1149,1500
139,351,0,1149,1500
140,351,0,1149,1500
141,351,0,1149,1500
142,352,0,1148,1500
143,352,0,1148,1500
144,352,0,1148,1500
145,352,0,1148,1500
146,352,0,1148,1500
147,353,0,1147,1500
148,353,0,1147,1500
149,353,0,1147,1500
150,353,0,1147,1500
151,353,0,1147,1500
152,354,0,1146,1500
153,354,0,1146,1500
154,354,0,1146,1500
155,354,0,1146,1500
156,354,0,1146,1500
157,355,0,1145,1500
158,355,0,1145,1500
159,355,0,1145,1500
160,355,0,1145,1500
161,355,0,1145,1500
162,356,0,1144,1500
163,356,0,1144,1500
164,356,0,1144,1500
165,356,0,1144,1500
166,356,0,1144,1500
167,357,0,1143,1500
168,357,0,1143,1500
169,357,0,1143,1500
170,357,0,1143,1500
171,357,0,1143,1500
172,358,0,1142,1500
173,358,0,1142,1500
174,358,0,1142,1500
175,358,0,1142,1500
176,358,0,1142,1500
177,359,0,1141,1500
178,359,0,1141,1500
179,359,0,1141,1500
180,359,0,1141,1500
181,359,0,1141,1500
182,360,0,1140,1500
183,360,0,1140,1500
184,360,0,1140,1500
185,360,0,1140,1500
186,360,0,1140,1500
187,361,0,1139,1500
188,361,0,1139,1500
189,361,0,1139,1500
190,361,0,1139,1500
191,361,0,1139,1500
192,1375,0,125,1500
193,1375,0,125,1500
194,1375,0,125,1500
195,1375,0,125,1500
196,1375,0,125,1500
197,1376,0,124,1500
198,1376,0,124,1500
199,1376,0,124,1500
200,1376,0,124,1500
201,1376,0,124,1500
202,1376,0,124,1500
203,1376,0,124,1500
204,1376,0,124,1500
205,1376,0,124,1500
206,1376,0,124,1500
207,1376,0,124,1500
208,1376,0,124,1500
209,1376,0,124,1500
210,1376,0,124,1500
211,1376,0,124,1500
212,1376,0,124,1500
213,1376,0,124,1500
214,1376,0,124,1500
215,1376,0,124,1500
216,1376,0,124,1500
217,1376,0,124,1500
218,1376,0,124,1500
219,1376,0,124,1500
220,1376,0,124,1500
221,1376,0,124,1500
222,1376,0,124,1500
223,1376,0,124,1500
224,1376,0,124,1500
225,1376,0,124,1500
226,1376,0,124,1500
227,1376,0,124,1500
228,1376,0,124,1500
229,1376,0,124,1500
230,1376,0,124,1500
231,1376,0,124,1500
232,1376,0,124,1500
233,1376,0,124,1500
234,1376,0,124,1500
235,1376,0,124,1500
236,1376,0,124,1500
237,1376,0,124,1500
238,1376,0,124,1500
239,1376,0,124,1500
240,1376,0,124,1500
241,1376,0,124,1500
