Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1500
1,0,2,561,1500
2,0,2,1107,1500
3,0,353,1147,1500
4,0,353,1147,1500
5,0,353,1147,1500
6,0,351,1149,0
7,0,351,1149,0
8,0,351,1149,0
9,0,350,1150,0
10,0,349,1151,0
11,0,349,1151,0
12,0,349,1151,0
13,0,349,1151,0
14,0,349,1151,0
15,0,349,1151,0
16,0,349,1151,0
17,0,347,1153,0
18,0,347,1153,0
19,0,347,1153,0
20,0,347,1153,0
21,0,347,1153,0
22,0,347,1153,0
23,0,347,1153,0
24,0,347,1153,0
25,0,347,1153,0
26,0,347,1153,0
27,0,347,1153,0
28,0,347,1153,0
29,0,347,1153,0
30,0,347,1153,0
31,0,347,1153,0
32,0,347,1153,0
33,0,345,1155,0
34,0,345,1155,0
35,0,345,1155,0
36,0,345,1155,0
37,0,345,1155,0
38,0,345,1155,0
39,0,345,1155,0
40,0,345,1155,0
41,0,345,1155,0
42,0,345,1155,0
43,0,345,1155,0
44,0,345,1155,0
45,0,345,1155,0
46,0,345,1155,0
47,0,345,1155,0
48,0,345,1155,0
49,0,345,1155,0
50,0,345,1155,0
51,0,345,1155,0
52,0,345,1155,0
53,0,345,1155,0
54,0,345,1155,0
55,0,345,1155,0
56,0,345,1155,0
57,0,345,1155,0
58,0,345,1155,0
59,0,345,1155,0
60,0,345,1155,0
61,0,345,1155,0
62,0,345,1155,0
63,1,345,1154,0
64,1,345,1154,0
65,1,345,1154,0
66,1,343,1156,0
67,1,343,1156,0
68,2,343,1155,0
69,2,343,1155,0
70,2,343,1155,0
71,2,343,1155,0
72,2,343,1155,0
73,3,343,1154,0
74,3,343,1154,0
75,3,343,1154,0
76,3,343,1154,1500
77,3,343,1154,1500
78,4,343,1153,1500
79,4,343,1153,1500
80,4,343,1153,1500
81,4,343,1153,1500
82,4,343,1153,1500
83,5,343,1152,1500
84,5,343,1152,1500
85,5,343,1152,1500
86,5,343,1152,1500
87,5,343,1152,1500
88,6,343,1151,1500
89,6,343,1151,1500
90,6,343,1151,1500
91,6,343,1151,1500
92,6,343,1151,1500
93,7,343,1150,1500
94,7,343,1150,1500
95,7,343,1150,1500
96,7,343,1150,1500
97,7,343,1150,1500
98,8,343,1149,1500
99,8,343,1149,1500
100,8,343,1149,1500
101,8,343,1149,1500
102,8,343,1149,1500
103,9,343,1148,1500
104,9,343,1148,1500
105,9,343,1148,1500
106,9,343,1148,1500
107,9,343,1148,1500
108,10,343,1147,1500
109,10,343,1147,1500
110,10,343,1147,1500
111,11,343,1146,1500
112,13,343,1144,1500
113,14,343,1143,1500
114,15,343,1142,1500
115,15,343,1142,1500
116,15,343,1142,1500
117,15,343,1142,1500
118,18,343,1139,1500
119,18,343,1139,1500
120,18,343,1139,1500
121,18,343,1139,1500
122,18,343,1139,1500
123,19,343,1138,1500
124,19,343,1138,1500
125,19,343,1138,1500
126,19,343,1138,1500
127,19,343,1138,1500
128,20,343,1137,1500
129,20,343,1137,1500
130,361,2,1137,1500
131,364,0,1136,1500
132,364,0,1136,1500
133,365,0,1135,1500
134,365,0,1135,1500
135,365,0,1135,1500
136,365,0,1135,1500
137,365,0,1135,1500
138,365,0,1135,1500
139,365,0,1135,1500
140,365,0,1135,1500
141,365,0,1135,1500
142,365,0,1135,1500
143,365,0,1135,1500
144,365,0,1135,1500
145,365,0,1135,1500
146,365,0,1135,1500
147,365,0,1135,1500
148,365,0,1135,1500
149,365,0,1135,1500
150,365,0,1135,1500
151,365,0,1135,1500
152,365,0,1135,1500
153,365,0,1135,1500
154,365,0,1135,1500
155,365,0,1135,1500
156,365,0,1135,1500
157,365,0,1135,1500
158,365,0,1135,1500
159,365,0,1135,1500
160,365,0,1135,1500
161,365,0,1135,1500
162,365,0,1135,1500
163,365,0,1135,1500
164,365,0,1135,1500
165,365,0,1135,1500
166,365,0,1135,1500
167,365,0,1135,1500
168,365,0,1135,1500
169,365,0,1135,1500
170,365,0,1135,1500
171,365,0,1135,1500
172,365,0,1135,1500
173,365,0,1135,1500
174,365,0,1135,1500
175,365,0,1135,1500
176,365,0,1135,1500
177,365,0,1135,1500
178,365,0,1135,1500
179,365,0,1135,1500
180,365,0,1135,1500
181,365,0,1135,1500
182,365,0,1135,1500
183,365,0,1135,1500
184,365,0,1135,1500
185,365,0,1135,1500
