Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1500
1,0,2,721,1500
2,0,271,1145,1500
3,0,353,1147,1500
4,0,353,1147,1500
5,0,351,1149,1500
6,0,351,1149,0
7,0,351,1149,0
8,0,349,1151,0
9,0,349,1151,0
10,0,349,1151,0
11,0,349,1151,0
12,0,349,1151,0
13,0,349,1151,0
14,0,349,1151,0
15,0,349,1151,0
16,0,347,1153,0
17,0,333,1167,0
18,0,333,1167,0
19,0,333,1167,0
20,0,333,1167,0
21,0,333,1167,0
22,0,333,1167,0
23,0,333,1167,0
24,0,333,1167,0
25,0,333,1167,0
26,0,333,1167,0
27,0,333,1167,0
28,0,333,1167,0
29,0,333,1167,0
30,0,333,1167,0
31,0,333,1167,0
32,0,331,1169,0
33,0,331,1169,0
34,0,331,1169,0
35,0,331,1169,0
36,0,331,1169,0
37,0,331,1169,0
38,0,331,1169,0
39,0,331,1169,0
40,0,331,1169,0
41,0,331,1169,0
42,0,331,1169,0
43,0,331,1169,0
44,0,331,1169,0
45,0,331,1169,0
46,0,331,1169,0
47,0,331,1169,0
48,0,331,1169,0
49,0,331,1169,0
50,0,331,1169,0
51,0,331,1169,0
52,0,331,1169,0
53,0,331,1169,0
54,0,331,1169,0
55,0,331,1169,0
56,0,331,1169,0
57,0,331,1169,0
58,0,331,1169,0
59,0,331,1169,0
60,0,331,1169,0
61,0,331,1169,0
62,0,331,1169,0
63,0,331,1169,0
64,0,331,1169,0
65,0,329,1171,0
66,0,329,1171,0
67,0,329,1171,0
68,0,329,1171,0
69,0,329,1171,0
70,0,329,1171,0
71,0,329,1171,0
72,0,329,1171,0
73,0,329,1171,0
74,0,329,1171,0
75,0,329,1171,0
76,0,329,1171,1500
77,0,329,1171,1500
78,0,329,1171,1500
79,0,329,1171,1500
80,0,329,1171,1500
81,0,329,1171,1500
82,0,329,1171,1500
83,0,329,1171,1500
84,0,329,1171,1500
85,0,329,1171,1500
86,0,329,1171,1500
87,0,329,1171,1500
88,0,329,1171,1500
89,0,329,1171,1500
90,0,329,1171,1500
91,0,329,1171,1500
92,0,329,1171,1500
93,0,329,1171,1500
94,0,329,1171,1500
95,0,329,1171,1500
96,0,329,1171,1500
97,0,329,1171,1500
98,0,329,1171,1500
99,0,329,1171,1500
100,0,329,1171,1500
101,0,329,1171,1500
102,0,329,1171,1500
103,0,329,1171,1500
104,0,329,1171,1500
105,0,329,1171,1500
106,0,329,1171,1500
107,0,329,1171,1500
108,2,329,1169,1500
109,2,329,1169,1500
110,4,329,1167,1500
111,4,329,1167,1500
112,4,329,1167,1500
113,4,329,1167,1500
114,4,329,1167,1500
115,4,329,1167,1500
116,4,329,1167,1500
117,4,329,1167,1500
118,4,329,1167,1500
119,4,329,1167,1500
120,4,329,1167,1500
121,4,329,1167,1500
122,5,329,1166,1500
123,5,329,1166,1500
124,5,329,1166,1500
125,5,329,1166,1500
126,5,329,1166,1500
127,5,329,1166,1500
128,6,329,1165,1500
129,78,257,1165,1500
130,350,0,1150,1500
131,350,0,1150,1500
132,350,0,1150,1500
133,351,0,1149,1500
134,351,0,1149,1500
135,351,0,1149,1500
136,351,0,1149,1500
137,351,0,1149,1500
138,352,0,1148,1500
139,352,0,1148,1500
140,352,0,1148,1500
141,352,0,1148,1500
142,352,0,1148,1500
143,353,0,1147,1500
144,353,0,1147,1500
145,353,0,1147,1500
146,353,0,1147,1500
147,353,0,1147,1500
148,354,0,1146,1500
149,354,0,1146,1500
150,354,0,1146,1500
151,354,0,1146,1500
152,354,0,1146,1500
153,355,0,1145,1500
154,355,0,1145,1500
155,355,0,1145,1500
156,355,0,1145,1500
157,355,0,1145,1500
158,356,0,1144,1500
159,356,0,1144,1500
160,356,0,1144,1500
161,356,0,1144,1500
162,356,0,1144,1500
163,357,0,1143,1500
164,357,0,1143,1500
165,357,0,1143,1500
166,357,0,1143,1500
167,357,0,1143,1500
168,358,0,1142,1500
169,358,0,1142,1500
170,358,0,1142,1500
171,358,0,1142,1500
172,358,0,1142,1500
173,359,0,1141,1500
174,359,0,1141,1500
175,359,0,1141,1500
176,359,0,1141,1500
177,359,0,1141,1500
178,360,0,1140,1500
179,360,0,1140,1500
180,360,0,1140,1500
181,360,0,1140,1500
182,360,0,1140,1500
183,361,0,1139,1500
184,361,0,1139,1500
185,361,0,1139,1500
186,361,0,1139,1500
187,361,0,1139,1500
188,362,0,1138,1500
189,362,0,1138,1500
190,362,0,1138,1500
191,362,0,1138,1500
192,362,0,1138,1500
193,1376,0,124,1500
194,1376,0,124,1500
195,1376,0,124,1500
196,1376,0,124,1500
197,1376,0,124,1500
198,1377,0,123,1500
199,1377,0,123,1500
200,1377,0,123,1500
201,1377,0,123,1500
202,1377,0,123,1500
203,1377,0,123,1500
204,1377,0,123,1500
205,1377,0,123,1500
206,1377,0,123,1500
207,1377,0,123,1500
208,1377,0,123,1500
209,1377,0,123,1500
210,1377,0,123,1500
211,1377,0,123,1500
212,1377,0,123,1500
213,1377,0,123,1500
214,1377,0,123,1500
215,1377,0,123,1500
216,1377,0,123,1500
217,1377,0,123,1500
218,1377,0,123,1500
219,1377,0,123,1500
220,1377,0,123,1500
221,1377,0,123,1500
222,1377,0,123,1500
223,1377,0,123,1500
224,1377,0,123,1500
225,1377,0,123,1500
226,1377,0,123,1500
227,1377,0,123,1500
228,1377,0,123,1500
229,1377,0,123,1500
230,1377,0,123,1500
231,1377,0,123,1500
232,1377,0,123,1500
233,1377,0,123,1500
234,1377,0,123,1500
235,1377,0,123,1500
236,1377,0,123,1500
237,1377,0,123,1500
238,1377,0,123,1500
239,1377,0,123,1500
240,1377,0,123,1500
241,1377,0,123,1500
