Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,3000
1,0,2,585,3000
2,0,17,1145,3000
3,0,601,1147,3000
4,0,1182,1149,3000
5,0,1739,1151,3000
6,0,1847,1153,0
7,0,1843,1157,0
8,0,1843,1157,0
9,0,1841,1159,0
10,0,1837,1163,0
11,0,1837,1163,0
12,0,1834,1166,0
13,0,1834,1166,0
14,0,1834,1166,0
15,0,1834,1166,0
16,0,1834,1166,0
17,0,1832,1168,0
18,0,1832,1168,0
19,0,1830,1170,0
20,0,1828,1172,0
21,0,1827,1173,0
22,0,1827,1173,0
23,0,1827,1173,0
24,0,1827,1173,0
25,0,1827,1173,0
26,0,1827,1173,0
27,0,1827,1173,0
28,0,1827,1173,0
29,0,1827,1173,0
30,0,1827,1173,0
31,0,1827,1173,0
32,0,1827,1173,0
33,0,1825,1175,0
34,0,1825,1175,0
35,0,1823,1177,0
36,0,1822,1178,0
37,0,1820,1180,0
38,0,1820,1180,0
39,0,1820,1180,0
40,0,1820,1180,0
41,0,1820,1180,0
42,0,1820,1180,0
43,0,1820,1180,0
44,0,1820,1180,0
45,0,1820,1180,0
46,0,1820,1180,0
47,0,1820,1180,0
48,0,1820,1180,0
49,0,1820,1180,0
50,0,1820,1180,0
51,0,1820,1180,0
52,0,1820,1180,0
53,0,1820,1180,0
54,0,1820,1180,0
55,0,1820,1180,0
56,0,1820,1180,0
57,0,1820,1180,0
58,0,1820,1180,0
59,0,1820,1180,0
60,0,1820,1180,0
61,0,1820,1180,0
62,0,1820,1180,0
63,1,1820,1179,0
64,1,1820,1179,0
65,1,1820,1179,0
66,1,1818,1181,0
67,1,1817,1182,0
68,2,1791,1207,0
69,2,1791,1207,0
70,2,1791,1207,0
71,2,1791,1207,0
72,2,1791,1207,0
73,3,1791,1206,0
74,3,1791,1206,0
75,3,1791,1206,0
76,3,1791,1206,3000
77,3,1791,1206,3000
78,4,1791,1205,3000
79,4,1791,1205,3000
80,4,1791,1205,3000
81,4,1791,1205,3000
82,4,1791,1205,3000
83,5,1791,1204,3000
84,5,1791,1204,3000
85,5,1791,1204,3000
86,5,1791,1204,3000
87,5,1791,1204,3000
88,6,1791,1203,3000
