Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,3000
1,0,2,660,3000
2,0,169,1145,3000
3,0,822,1147,3000
4,0,1465,1149,3000
5,0,1848,1152,3000
6,0,1847,1153,0
7,0,1844,1156,0
8,0,1842,1158,0
9,0,1838,1162,0
10,0,1836,1164,0
11,0,1836,1164,0
12,0,1836,1164,0
13,0,1836,1164,0
14,0,1836,1164,0
15,0,1836,1164,0
16,0,1835,1165,0
17,0,1820,1180,0
18,0,1818,1182,0
19,0,1816,1184,0
21,0,1816,1184,0
22,0,1816,1184,0
23,0,1816,1184,0
24,0,1816,1184,0
25,0,1816,1184,0
26,0,1816,1184,0
27,0,1816,1184,0
28,0,1816,1184,0
29,0,1816,1184,0
30,0,1816,1184,0
31,0,1816,1184,0
32,0,1816,1184,0
33,0,1814,1186,0
34,0,1812,1188,0
35,0,1811,1189,0
36,0,1811,1189,0
37,0,1811,1189,0
38,0,1811,1189,0
39,0,1811,1189,0
40,0,1811,1189,0
41,0,1811,1189,0
42,0,1811,1189,0
43,0,1811,1189,0
44,0,1811,1189,0
45,0,1811,1189,0
46,0,1811,1189,0
47,0,1811,1189,0
48,0,1811,1189,0
49,0,1811,1189,0
50,0,1811,1189,0
51,0,1811,1189,0
52,0,1811,1189,0
53,0,1811,1189,0
54,0,1811,1189,0
55,0,1811,1189,0
56,0,1811,1189,0
57,0,1811,1189,0
58,0,1811,1189,0
59,0,1811,1189,0
60,0,1811,1189,0
61,0,1811,1189,0
62,0,1811,1189,0
63,0,1811,1189,0
64,0,1811,1189,0
65,0,1809,1191,0
66,0,1807,1193,0
67,0,1805,1195,0
68,0,1751,1249,0
69,0,1751,1249,0
70,0,1751,1249,0
71,0,1751,1249,0
72,2,1751,1247,0
73,2,1751,1247,0
74,4,1751,1245,0
75,11,1751,1238,0
76,11,1751,1238,3000
77,11,1751,1238,3000
78,11,1751,1238,3000
79,11,1751,1238,3000
80,11,1751,1238,3000
81,11,1751,1238,3000
82,11,1751,1238,3000
83,11,1751,1238,3000
84,11,1751,1238,3000
85,11,1751,1238,3000
86,11,1751,1238,3000
87,11,1751,1238,3000
88,11,1751,1238,3000
89,11,1751,1238,3000
90,11,1751,1238,3000
91,11,1751,1238,3000
92,11,1751,1238,3000
93,11,1751,1238,3000
94,11,1751,1238,3000
95,11,1751,1238,3000
96,11,1751,1238,3000
97,11,1751,1238,3000
98,11,1751,1238,3000
99,11,1751,1238,3000
100,11,1751,1238,3000
101,11,1751,1238,3000
102,11,1751,1238,3000
103,11,1751,1238,3000
104,11,1751,1238,3000
105,11,1751,1238,3000
106,11,1751,1238,3000
107,11,1751,1238,3000
108,11,1751,1238,3000
109,11,1751,1238,3000
110,11,1751,1238,3000
111,12,1751,1237,3000
112,14,1751,1235,3000
113,15,1751,1234,3000
114,17,1751,1232,3000
115,19,1751,1230,3000
116,20,1751,1229,3000
117,22,1751,1227,3000
118,22,1751,1227,3000
119,24,1751,1225,3000
120,26,1751,1223,3000
121,26,1751,1223,3000
122,26,1751,1223,3000
123,26,1751,1223,3000
124,26,1751,1223,3000
125,26,1751,1223,3000
126,39,1751,1210,3000
127,41,1751,1208,3000
128,43,1751,1206,3000
129,65,1729,1206,3000
130,714,1080,1206,3000
131,1262,532,1206,3000
132,1794,0,1206,3000
133,1796,0,1204,3000
134,1796,0,1204,3000
135,1796,0,1204,3000
136,1796,0,1204,3000
137,1796,0,1204,3000
138,1798,0,1202,3000
139,1798,0,1202,3000
140,1798,0,1202,3000
141,1798,0,1202,3000
142,1798,0,1202,3000
143,1800,0,1200,3000
144,1800,0,1200,3000
145,1800,0,1200,3000
146,1800,0,1200,3000
