Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,4000
1,0,2,514,4000
2,0,2,1003,4000
3,0,362,1145,4000
4,0,860,1147,4000
5,0,1356,1149,4000
6,0,1840,1151,0
7,0,2318,1153,0
8,0,2755,1157,0
9,0,2839,1161,0
10,0,2837,1163,0
11,0,2835,1165,0
12,0,2833,1167,0
13,0,2830,1170,0
14,0,2828,1172,0
15,0,2826,1174,0
16,0,2825,1175,0
17,0,2825,1175,0
18,0,2823,1177,0
19,0,2821,1179,0
20,0,2819,1181,0
21,0,2817,1183,0
22,0,2816,1184,0
23,0,2809,1191,0
24,0,2809,1191,0
25,0,2809,1191,0
26,0,2809,1191,0
27,0,2809,1191,0
28,0,2809,1191,0
29,0,2809,1191,0
30,0,2809,1191,0
31,0,2809,1191,0
32,0,2809,1191,0
33,0,2809,1191,0
34,0,2807,1193,0
35,0,2805,1195,0
36,0,2803,1197,0
37,0,2802,1198,0
38,0,2800,1200,0
39,0,2799,1201,0
40,0,2799,1201,0
41,0,2799,1201,0
42,0,2799,1201,0
43,0,2799,1201,0
44,0,2799,1201,0
45,0,2799,1201,0
46,0,2799,1201,0
47,0,2799,1201,0
48,0,2799,1201,0
49,0,2799,1201,0
50,0,2799,1201,0
51,0,2799,1201,0
52,0,2799,1201,0
53,0,2799,1201,0
54,0,2799,1201,0
55,0,2799,1201,0
56,0,2799,1201,0
57,0,2799,1201,0
58,0,2799,1201,0
59,0,2799,1201,0
60,0,2799,1201,0
61,0,2799,1201,0
62,0,2799,1201,0
63,0,2799,1201,0
64,1,2799,1200,0
65,1,2799,1200,0
66,1,2797,1202,0
67,1,2795,1204,0
68,1,2755,1244,0
69,2,2753,1245,0
70,2,2751,1247,0
71,2,2749,1249,0
72,2,2749,1249,0
73,2,2749,1249,0
74,3,2749,1248,0
75,3,2749,1248,0
76,3,2749,1248,4000
77,3,2749,1248,4000
78,3,2749,1248,4000
79,4,2749,1247,4000
80,6,2749,1245,4000
81,8,2749,1243,4000
82,18,2749,1233,4000
83,18,2749,1233,4000
84,19,2749,1232,4000
85,19,2749,1232,4000
