Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,4000
1,0,2,259,4000
2,0,2,510,4000
3,0,2,760,4000
4,0,2,997,4000
5,0,104,1145,4000
6,0,352,1147,4000
7,0,601,1149,4000
8,0,849,1151,4000
9,0,1091,1153,0
10,0,1337,1157,0
11,0,1584,1159,0
12,0,1827,1161,0
13,0,2069,1163,0
14,0,2301,1165,0
15,0,2539,1169,0
16,0,2775,1171,0
17,0,2826,1174,0
18,0,2824,1176,0
19,0,2822,1178,0
20,0,2818,1182,0
21,0,2816,1184,0
22,0,2814,1186,0
23,0,2812,1188,0
24,0,2810,1190,0
25,0,2804,1196,0
26,0,2802,1198,0
27,0,2800,1200,0
28,0,2799,1201,0
29,0,2797,1203,0
30,0,2795,1205,0
31,0,2794,1206,0
32,0,2792,1208,0
33,0,2792,1208,0
34,0,2792,1208,0
35,0,2792,1208,0
36,0,2790,1210,0
37,0,2788,1212,0
38,0,2786,1214,0
39,0,2785,1215,0
40,0,2782,1218,0
41,0,2780,1220,0
42,0,2778,1222,0
43,0,2777,1223,0
44,0,2776,1224,0
45,0,2771,1229,0
46,0,2769,1231,0
47,0,2768,1232,0
48,0,2768,1232,0
49,0,2768,1232,0
50,0,2768,1232,0
51,1,2768,1231,0
52,2,2768,1230,0
53,4,2768,1228,0
54,6,2768,1226,0
55,6,2768,1226,0
56,8,2768,1224,0
57,8,2768,1224,0
58,8,2768,1224,0
59,8,2768,1224,0
60,8,2768,1224,0
61,8,2768,1224,0
62,8,2768,1224,0
63,9,2768,1223,0
64,10,2768,1222,0
65,13,2768,1219,0
66,15,2768,1217,0
67,17,2768,1215,0
68,18,2766,1216,0
69,18,2764,1218,0
70,20,2753,1227,0
71,20,2751,1229,0
72,20,2749,1231,0
73,20,2747,1233,0
74,20,2745,1235,0
75,22,2743,1235,0
76,24,2620,1356,0
77,24,2401,1575,4000
78,24,2159,1817,4000
79,24,1918,2058,4000
80,26,1845,2129,4000
81,26,1845,2129,4000
82,26,1845,2129,4000
83,26,1845,2129,4000
84,26,1845,2129,0
85,28,1845,2127,0
86,28,1845,2127,0
87,28,1845,2127,0
88,28,1845,2127,0
89,28,1845,2127,0
90,30,1845,2125,0
91,30,1845,2125,0
92,30,1845,2125,0
93,30,1845,2125,0
94,30,1845,2125,0
95,34,1845,2121,0
96,35,1845,2120,0
97,37,1845,2118,0
98,37,1845,2118,0
99,37,1845,2118,0
100,39,1845,2116,0
101,39,1845,2116,0
102,39,1845,2116,0
103,39,1845,2116,0
104,39,1845,2116,0
105,41,1845,2114,0
106,41,1845,2114,0
107,41,1845,2114,0
108,41,1845,2114,0
109,41,1845,2114,0
110,43,1845,2112,0
111,43,1845,2112,0
112,45,1845,2110,0
113,47,1845,2108,0
114,49,1845,2106,0
115,51,1845,2104,0
116,53,1845,2102,0
117,54,1845,2101,0
118,55,1845,2100,0
119,55,1845,2100,0
120,57,1845,2098,0
121,58,1845,2097,0
122,60,1845,2095,0
123,60,1845,2095,0
124,62,1845,2093,0
125,66,1845,2089,0
126,68,1845,2087,0
127,70,1845,2085,0
128,72,1845,2083,0
129,74,1845,2081,0
130,76,1845,2079,4000
131,76,1845,2079,4000
132,117,1804,2079,4000
133,345,1576,2079,4000
134,584,1337,2079,4000
135,833,1090,2077,4000
136,1073,852,2075,4000
137,1315,610,2075,4000
138,1562,363,2075,4000
139,1762,163,2075,4000
140,1929,0,2071,4000
141,1931,0,2069,4000
142,1931,0,2069,4000
143,1931,0,2069,4000
144,1931,0,2069,4000
145,1935,0,2065,4000
146,1937,0,2063,4000
147,1937,0,2063,4000
148,1937,0,2063,4000
149,1937,0,2063,4000
150,1941,0,2059,4000
151,1943,0,2057,4000
152,1943,0,2057,4000
153,1943,0,2057,4000
154,1943,0,2057,4000
155,1947,0,2053,4000
156,1949,0,2051,4000
157,1949,0,2051,4000
158,1949,0,2051,4000
159,1949,0,2051,4000
160,1953,0,2047,4000
161,1955,0,2045,4000
162,1955,0,2045,4000
163,1955,0,2045,4000
164,1955,0,2045,4000
165,1959,0,2041,4000
166,1961,0,2039,4000
167,1961,0,2039,4000
168,1961,0,2039,4000
169,1961,0,2039,4000
170,1965,0,2035,4000
171,1967,0,2033,4000
172,1967,0,2033,4000
173,1967,0,2033,4000
174,1967,0,2033,4000
175,1969,0,2031,4000
176,1970,0,2030,4000
177,1971,0,2029,4000
178,1971,0,2029,4000
179,1971,0,2029,4000
180,1972,0,2028,4000
181,1973,0,2027,4000
182,1975,0,2025,4000
183,1975,0,2025,4000
184,1975,0,2025,4000
185,1976,0,2024,4000
186,1977,0,2023,4000
187,1977,0,2023,4000
188,1978,0,2022,4000
189,1978,0,2022,4000
190,1978,0,2022,4000
191,1978,0,2022,4000
192,1978,0,2022,4000
193,2253,0,1747,4000
194,2502,0,1498,4000
195,2990,0,1010,4000
196,2990,0,1010,4000
197,2990,0,1010,4000
198,2990,0,1010,4000
199,2990,0,1010,4000
200,2990,0,1010,4000
201,2990,0,1010,4000
202,2990,0,1010,4000
203,2990,0,1010,4000
204,2990,0,1010,4000
205,2990,0,1010,4000
206,2990,0,1010,4000
207,2990,0,1010,4000
208,2990,0,1010,4000
209,2990,0,1010,4000
210,2990,0,1010,4000
211,2990,0,1010,4000
212,2990,0,1010,4000
213,2990,0,1010,4000
214,2990,0,1010,4000
215,2990,0,1010,4000
216,2990,0,1010,4000
217,2990,0,1010,4000
218,2990,0,1010,4000
219,2990,0,1010,4000
220,2990,0,1010,4000
221,2990,0,1010,4000
222,2990,0,1010,4000
223,2990,0,1010,4000
224,2990,0,1010,4000
225,2990,0,1010,4000
226,2990,0,1010,4000
227,2990,0,1010,4000
228,2990,0,1010,4000
229,2990,0,1010,4000
230,2990,0,1010,4000
231,2990,0,1010,4000
232,2990,0,1010,4000
233,2990,0,1010,4000
234,2990,0,1010,4000
235,2990,0,1010,4000
236,2990,0,1010,4000
237,2990,0,1010,4000
238,2990,0,1010,4000
239,2990,0,1010,4000
240,2990,0,1010,4000
241,2990,0,1010,4000
