Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,2500
1,0,2,270,2500
2,0,2,525,2500
3,0,2,791,2500
4,0,2,1055,2500
5,0,177,1145,2500
6,0,439,1147,2500
7,0,704,1149,2500
8,0,965,1151,2500
9,0,1222,1154,0
10,0,1343,1157,0
11,0,1341,1159,0
12,0,1339,1161,0
13,0,1336,1164,0
14,0,1332,1168,0
15,0,1330,1170,0
16,0,1329,1171,0
17,0,1329,1171,0
18,0,1329,1171,0
19,0,1328,1172,0
20,0,1326,1174,0
21,0,1324,1176,0
22,0,1322,1178,0
23,0,1321,1179,0
24,0,1317,1183,0
25,0,1317,1183,0
26,0,1317,1183,0
27,0,1317,1183,0
28,0,1317,1183,0
29,0,1317,1183,0
30,0,1317,1183,0
31,0,1317,1183,0
32,0,1317,1183,0
33,0,1317,1183,0
34,0,1317,1183,0
35,0,1315,1185,0
36,0,1315,1185,0
37,0,1313,1187,0
38,0,1311,1189,0
39,0,1298,1202,0
40,0,1296,1204,0
41,0,1296,1204,0
42,0,1296,1204,0
43,0,1296,1204,0
44,0,1296,1204,0
45,0,1296,1204,0
46,0,1296,1204,0
47,0,1296,1204,0
48,0,1296,1204,0
49,0,1296,1204,0
50,0,1296,1204,0
51,0,1296,1204,0
52,0,1296,1204,0
53,0,1296,1204,0
54,0,1296,1204,0
55,0,1296,1204,0
56,0,1296,1204,0
57,0,1296,1204,0
58,0,1296,1204,0
59,0,1296,1204,0
60,0,1296,1204,0
61,0,1296,1204,0
62,0,1296,1204,0
63,0,1296,1204,0
64,0,1296,1204,0
65,0,1296,1204,0
66,1,1296,1203,0
67,1,1296,1203,0
68,1,1294,1205,0
69,1,1292,1207,0
70,1,1290,1209,0
71,2,1288,1210,0
72,2,1286,1212,0
73,2,1284,1214,0
74,2,1284,1214,0
75,2,1284,1214,0
76,3,1284,1213,2500
77,3,1284,1213,2500
78,3,1284,1213,2500
79,3,1284,1213,2500
80,3,1284,1213,2500
81,4,1284,1212,2500
82,4,1284,1212,2500
83,4,1284,1212,2500
84,4,1284,1212,2500
85,4,1284,1212,2500
86,5,1284,1211,2500
87,5,1284,1211,2500
88,5,1284,1211,2500
89,5,1284,1211,2500
90,5,1284,1211,2500
91,6,1284,1210,2500
92,6,1284,1210,2500
93,6,1284,1210,2500
94,6,1284,1210,2500
95,6,1284,1210,2500
96,7,1284,1209,2500
97,7,1284,1209,2500
98,7,1284,1209,2500
99,7,1284,1209,2500
100,7,1284,1209,2500
101,8,1284,1208,2500
102,8,1284,1208,2500
103,8,1284,1208,2500
104,8,1284,1208,2500
105,8,1284,1208,2500
106,9,1284,1207,2500
107,9,1284,1207,2500
108,9,1284,1207,2500
109,9,1284,1207,2500
110,10,1284,1206,2500
111,10,1284,1206,2500
112,12,1284,1204,2500
113,14,1284,1202,2500
114,15,1284,1201,2500
115,18,1284,1198,2500
116,20,1284,1196,2500
117,22,1284,1194,2500
118,24,1284,1192,2500
119,26,1284,1190,2500
120,27,1284,1189,2500
121,31,1284,1185,2500
122,33,1284,1183,2500
123,35,1284,1181,2500
124,35,1284,1181,2500
125,36,1284,1180,2500
126,36,1284,1180,2500
127,38,1284,1178,2500
128,39,1284,1177,2500
129,40,1284,1176,2500
130,41,1284,1175,2500
131,41,1284,1175,2500
132,152,1173,1175,2500
133,413,912,1175,2500
134,676,649,1175,2500
135,890,436,1174,2500
136,1139,189,1172,2500
137,1328,0,1172,2500
138,1328,0,1172,2500
139,1328,0,1172,2500
140,1328,0,1172,2500
141,1328,0,1172,2500
142,1328,0,1172,2500
143,1328,0,1172,2500
144,1328,0,1172,2500
145,1328,0,1172,2500
146,1328,0,1172,2500
147,1328,0,1172,2500
148,1328,0,1172,2500
149,1328,0,1172,2500
150,1328,0,1172,2500
151,1328,0,1172,2500
152,1328,0,1172,2500
153,1328,0,1172,2500
154,1328,0,1172,2500
155,1328,0,1172,2500
156,1328,0,1172,2500
157,1328,0,1172,2500
158,1328,0,1172,2500
159,1328,0,1172,2500
160,1328,0,1172,2500
161,1328,0,1172,2500
162,1328,0,1172,2500
163,1328,0,1172,2500
164,1328,0,1172,2500
165,1328,0,1172,2500
166,1328,0,1172,2500
167,1328,0,1172,2500
168,1328,0,1172,2500
169,1328,0,1172,2500
170,1328,0,1172,2500
171,1328,0,1172,2500
172,1328,0,1172,2500
173,1328,0,1172,2500
174,1328,0,1172,2500
175,1328,0,1172,2500
176,1328,0,1172,2500
177,1328,0,1172,2500
178,1328,0,1172,2500
179,1328,0,1172,2500
180,1328,0,1172,2500
181,1328,0,1172,2500
182,1328,0,1172,2500
183,1328,0,1172,2500
184,1328,0,1172,2500
185,1328,0,1172,2500
186,1328,0,1172,2500
187,1328,0,1172,2500
188,1328,0,1172,2500
189,1328,0,1172,2500
190,1328,0,1172,2500
191,1328,0,1172,2500
192,1328,0,1172,2500
193,1416,0,1084,2500
194,1670,0,830,2500
195,1670,0,830,2500
196,2335,0,165,2500
197,2335,0,165,2500
198,2335,0,165,2500
199,2335,0,165,2500
200,2335,0,165,2500
201,2335,0,165,2500
202,2335,0,165,2500
203,2335,0,165,2500
204,2335,0,165,2500
205,2335,0,165,2500
206,2335,0,165,2500
207,2335,0,165,2500
208,2335,0,165,2500
209,2335,0,165,2500
210,2335,0,165,2500
211,2335,0,165,2500
212,2335,0,165,2500
213,2335,0,165,2500
214,2335,0,165,2500
215,2335,0,165,2500
216,2335,0,165,2500
217,2335,0,165,2500
218,2335,0,165,2500
219,2335,0,165,2500
220,2335,0,165,2500
221,2341,0,159,2500
222,2341,0,159,2500
223,2341,0,159,2500
224,2341,0,159,2500
225,2341,0,159,2500
226,2341,0,159,2500
227,2341,0,159,2500
228,2341,0,159,2500
229,2341,0,159,2500
230,2341,0,159,2500
231,2341,0,159,2500
232,2341,0,159,2500
233,2341,0,159,2500
234,2341,0,159,2500
235,2341,0,159,2500
236,2341,0,159,2500
237,2341,0,159,2500
238,2341,0,159,2500
239,2341,0,159,2500
240,2341,0,159,2500
241,2341,0,159,2500
