Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,3500
1,0,2,179,3500
2,0,2,356,3500
3,0,2,534,3500
4,0,1,708,3500
5,0,2,874,3500
6,0,2,1037,3500
7,0,72,1144,3500
8,0,246,1146,3500
9,0,420,1148,0
10,0,590,1150,0
11,0,746,1153,0
12,0,921,1155,0
13,0,1095,1157,0
14,0,1267,1159,0
15,0,1439,1161,0
16,0,1595,1164,0
17,0,1765,1166,0
18,0,1936,1168,0
19,0,2107,1170,0
20,0,2276,1172,0
21,0,2326,1174,0
22,0,2323,1177,0
23,0,2320,1180,0
24,0,2318,1182,0
25,0,2317,1183,0
26,0,2315,1185,0
27,0,2309,1191,0
28,0,2308,1192,0
29,0,2306,1194,0
30,0,2304,1196,0
31,0,2300,1200,0
32,0,2298,1202,0
33,0,2298,1202,0
34,0,2297,1203,0
35,0,2295,1205,0
36,0,2293,1207,0
37,1,2293,1206,0
38,1,2291,1208,0
39,3,2289,1208,0
40,5,2287,1208,0
41,6,2285,1209,0
42,10,2280,1210,0
43,13,2278,1209,0
44,15,2276,1209,0
45,17,2274,1209,0
46,19,2272,1209,0
47,21,2269,1210,0
48,23,2267,1210,0
49,25,2265,1210,0
50,27,2263,1210,0
51,29,2261,1210,0
52,29,2261,1210,0
53,29,2261,1210,0
54,29,2261,1210,0
55,29,2261,1210,0
56,30,2261,1209,0
57,30,2261,1209,0
58,30,2261,1209,0
59,30,2261,1209,0
60,30,2261,1209,0
61,30,2261,1209,0
62,30,2261,1209,0
63,30,2261,1209,0
64,30,2261,1209,0
65,30,2261,1209,0
66,30,2261,1209,0
67,31,2261,1208,0
68,31,2261,1208,0
69,31,2261,1208,0
70,31,2260,1209,0
71,33,2258,1209,0
72,36,2242,1222,0
73,38,2240,1222,0
74,38,2238,1224,0
75,38,2236,1226,0
76,38,2161,1301,0
77,39,1997,1464,3500
78,39,1827,1634,3500
79,39,1686,1775,3500
80,39,1515,1946,3500
81,39,1344,2117,3500
82,40,1244,2216,3500
83,40,1230,2230,3500
84,40,1228,2232,0
85,40,1228,2232,0
86,40,1228,2232,0
87,41,1228,2231,0
88,41,1228,2231,0
89,41,1228,2231,0
90,41,1228,2231,0
91,42,1228,2230,0
92,43,1228,2229,0
93,43,1228,2229,0
94,43,1228,2229,0
95,43,1228,2229,0
96,43,1228,2229,0
97,45,1228,2227,0
98,45,1228,2227,0
99,45,1228,2227,0
100,45,1228,2227,0
101,45,1228,2227,0
102,46,1228,2226,0
103,52,1228,2220,0
104,54,1228,2218,0
105,56,1228,2216,0
106,58,1228,2214,0
107,59,1228,2213,0
108,59,1228,2213,0
109,59,1228,2213,0
110,59,1228,2213,0
111,59,1228,2213,0
112,60,1228,2212,0
113,60,1228,2212,0
114,60,1228,2212,0
115,60,1228,2212,0
