Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,3500
1,0,2,252,3500
2,0,2,504,3500
3,0,118,638,3500
4,0,369,640,3500
5,0,619,642,3500
6,0,701,794,0
7,0,679,1060,0
8,0,833,1151,0
9,0,1072,1153,0
10,0,1311,1155,0
11,0,1390,1308,0
12,0,1353,1576,0
13,0,1492,1666,0
14,0,1724,1668,0
15,0,1829,1671,0
16,0,1746,1754,3500
17,0,1476,2024,3500
18,0,1324,2176,3500
19,0,1321,2179,3500
20,0,1320,2180,3500
21,0,1271,2229,0
22,0,1101,2399,3500
23,0,940,2560,3500
24,0,814,2686,3500
25,0,814,2686,3500
26,0,798,2702,3500
27,0,650,2850,3500
28,0,498,3002,3500
29,0,413,3087,3500
30,0,413,3087,3500
31,0,413,3087,3500
32,0,413,3087,3500
33,0,413,3087,3500
34,0,363,3137,3500
35,0,210,3290,3500
36,0,115,3385,3500
37,0,69,3431,3500
38,0,69,3431,3500
39,0,69,3431,3500
40,0,60,3440,3500
41,0,23,3477,3500
42,0,11,3489,3500
43,0,0,3500,3500
44,0,0,3500,3500
45,0,0,3500,3500
46,0,0,3500,3500
47,0,0,3500,3500
48,0,0,3500,3500
49,0,0,3500,3500
50,0,0,3500,3500
51,0,0,3500,3500
52,0,0,3500,3500
53,0,0,3500,3500
54,0,0,3500,3500
55,0,0,3500,3500
56,0,0,3500,3500
57,0,0,3500,3500
58,0,0,3500,3500
59,0,0,3500,3500
60,0,0,3500,3500
61,0,0,3500,3500
62,0,0,3500,3500
63,0,0,3500,3500
64,0,0,3500,3500
65,0,0,3500,3500
66,97,0,3403,3500
67,504,0,2996,3500
68,517,0,2983,3500
69,517,0,2983,3500
70,517,0,2983,3500
71,532,0,2968,3500
72,937,0,2563,3500
73,1029,0,2471,3500
74,1029,0,2471,3500
75,1029,0,2471,3500
76,1044,0,2456,3500
77,1445,0,2055,3500
78,1537,0,1963,3500
79,1537,0,1963,3500
80,1537,0,1963,3500
81,1552,0,1948,3500
82,1954,0,1546,3500
83,2045,0,1455,3500
84,2045,0,1455,3500
85,2045,0,1455,3500
86,2060,0,1440,3500
87,2331,0,1169,3500
88,2552,0,948,3500
89,2556,0,944,3500
90,2556,0,944,3500
91,2571,0,929,3500
92,2837,0,663,3500
93,3000,0,500,3500
94,3060,0,440,3500
95,3060,0,440,3500
96,3073,0,427,3500
97,3084,0,416,3500
98,3085,0,415,3500
99,3135,0,365,3500
100,3277,0,223,3500
101,3378,0,122,3500
102,3429,0,71,3500
103,3429,0,71,3500
104,3431,0,69,3500
105,3440,0,60,3500
106,3477,0,23,3500
107,3489,0,11,3500
