Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,3500
1,0,2,567,3500
2,0,2,1121,3500
3,0,543,1145,3500
4,0,1105,1147,3500
5,0,1652,1149,3500
6,0,2152,1151,0
7,0,2340,1160,0
8,0,2338,1162,0
9,0,2336,1164,0
10,0,2334,1166,0
11,0,2332,1168,0
12,0,2329,1171,0
13,0,2328,1172,0
14,0,2328,1172,0
15,0,2328,1172,0
16,0,2328,1172,0
17,0,2326,1174,0
18,0,2326,1174,0
19,0,2324,1176,0
20,0,2323,1177,0
21,0,2321,1179,0
22,0,2319,1181,0
23,0,2319,1181,0
24,0,2319,1181,0
25,0,2319,1181,0
26,0,2319,1181,0
27,0,2319,1181,0
28,0,2319,1181,0
29,0,2319,1181,0
30,0,2319,1181,0
31,0,2319,1181,0
32,0,2319,1181,0
33,0,2317,1183,0
34,0,2317,1183,0
35,0,2315,1185,0
36,0,2313,1187,0
37,0,2312,1188,0
38,0,2301,1199,0
39,0,2301,1199,0
40,0,2301,1199,0
41,0,2301,1199,0
42,0,2301,1199,0
43,0,2301,1199,0
44,0,2301,1199,0
45,0,2301,1199,0
46,0,2301,1199,0
47,0,2301,1199,0
48,0,2301,1199,0
49,0,2301,1199,0
50,0,2301,1199,0
51,0,2301,1199,0
52,0,2301,1199,0
53,0,2301,1199,0
54,0,2301,1199,0
55,0,2301,1199,0
56,0,2301,1199,0
57,0,2301,1199,0
58,0,2301,1199,0
59,0,2301,1199,0
60,0,2301,1199,0
61,0,2301,1199,0
62,0,2301,1199,0
63,0,2301,1199,0
64,1,2301,1198,0
65,1,2301,1198,0
66,1,2299,1200,0
67,1,2297,1202,0
68,1,2253,1246,0
69,2,2253,1245,0
70,2,2251,1247,0
71,2,2251,1247,0
72,2,2251,1247,0
73,2,2251,1247,0
74,3,2251,1246,0
75,7,2251,1242,0
76,7,2251,1242,3500
77,7,2251,1242,3500
78,7,2251,1242,3500
79,8,2251,1241,3500
80,10,2251,1239,3500
81,12,2251,1237,3500
82,12,2251,1237,3500
83,12,2251,1237,3500
84,13,2251,1236,3500
85,13,2251,1236,3500
86,13,2251,1236,3500
87,13,2251,1236,3500
88,13,2251,1236,3500
89,14,2251,1235,3500
