Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,3500
1,0,2,412,3500
2,0,2,819,3500
3,0,82,1145,3500
4,0,487,1147,3500
5,0,889,1149,3500
6,0,1268,1151,0
7,0,1661,1153,0
8,0,2045,1156,0
9,0,2341,1159,0
10,0,2338,1162,0
11,0,2338,1162,0
12,0,2336,1164,0
13,0,2330,1170,0
14,0,2328,1172,0
15,0,2327,1173,0
16,0,2326,1174,0
17,0,2326,1174,0
18,0,2324,1176,0
19,0,2322,1178,0
20,0,2320,1180,0
21,0,2318,1182,0
22,0,2317,1183,0
23,0,2310,1190,0
24,0,2308,1192,0
25,0,2308,1192,0
26,0,2308,1192,0
27,0,2308,1192,0
28,0,2308,1192,0
29,0,2308,1192,0
30,0,2308,1192,0
31,0,2308,1192,0
32,0,2308,1192,0
33,0,2308,1192,0
34,0,2306,1194,0
35,0,2304,1196,0
36,0,2302,1198,0
37,0,2301,1199,0
38,0,2299,1201,0
39,0,2297,1203,0
40,0,2297,1203,0
41,0,2297,1203,0
42,0,2297,1203,0
43,0,2297,1203,0
44,0,2297,1203,0
45,0,2297,1203,0
46,0,2297,1203,0
47,0,2297,1203,0
48,0,2297,1203,0
49,0,2297,1203,0
50,0,2297,1203,0
51,0,2297,1203,0
52,0,2297,1203,0
53,0,2297,1203,0
54,0,2297,1203,0
55,0,2297,1203,0
56,0,2297,1203,0
57,0,2297,1203,0
58,0,2297,1203,0
59,0,2297,1203,0
60,0,2297,1203,0
61,0,2297,1203,0
62,0,2297,1203,0
63,0,2297,1203,0
64,0,2297,1203,0
65,0,2297,1203,0
66,0,2295,1205,0
67,0,2293,1207,0
68,0,2257,1243,0
69,0,2257,1243,0
70,0,2255,1245,0
71,0,2253,1247,0
72,0,2251,1249,0
73,2,2251,1247,0
74,4,2251,1245,0
75,13,2251,1236,0
76,13,2251,1236,3500
77,13,2251,1236,3500
78,13,2251,1236,3500
79,13,2251,1236,3500
80,13,2251,1236,3500
81,13,2251,1236,3500
82,13,2251,1236,3500
83,13,2251,1236,3500
84,13,2251,1236,3500
85,13,2251,1236,3500
86,13,2251,1236,3500
87,13,2251,1236,3500
88,13,2251,1236,3500
89,13,2251,1236,3500
90,13,2251,1236,3500
91,13,2251,1236,3500
92,13,2251,1236,3500
93,13,2251,1236,3500
94,14,2251,1235,3500
95,15,2251,1234,3500
96,16,2251,1233,3500
97,17,2251,1232,3500
98,17,2251,1232,3500
99,17,2251,1232,3500
100,17,2251,1232,3500
101,17,2251,1232,3500
102,17,2251,1232,3500
103,17,2251,1232,3500
104,17,2251,1232,3500
105,17,2251,1232,3500
106,17,2251,1232,3500
107,17,2251,1232,3500
108,19,2251,1230,3500
109,21,2251,1228,3500
110,23,2251,1226,3500
111,25,2251,1224,3500
112,27,2251,1222,3500
113,29,2251,1220,3500
114,31,2251,1218,3500
115,33,2251,1216,3500
116,35,2251,1214,3500
117,37,2251,1212,3500
118,41,2251,1208,3500
119,43,2251,1206,3500
120,44,2251,1205,3500
121,45,2251,1204,3500
122,45,2251,1204,3500
123,45,2251,1204,3500
124,45,2251,1204,3500
125,45,2251,1204,3500
126,45,2251,1204,3500
127,45,2251,1204,3500
128,45,2251,1204,3500
129,46,2251,1203,3500
130,46,2251,1203,3500
131,412,1886,1202,3500
132,786,1514,1200,3500
133,1162,1138,1200,3500
134,1559,742,1199,3500
135,1909,392,1199,3500
136,2290,11,1199,3500
137,2301,0,1199,3500
138,2301,0,1199,3500
139,2302,0,1198,3500
140,2302,0,1198,3500
141,2302,0,1198,3500
142,2302,0,1198,3500
143,2302,0,1198,3500
144,2303,0,1197,3500
145,2303,0,1197,3500
146,2303,0,1197,3500
147,2303,0,1197,3500
148,2303,0,1197,3500
149,2304,0,1196,3500
150,2304,0,1196,3500
151,2304,0,1196,3500
152,2304,0,1196,3500
153,2304,0,1196,3500
154,2305,0,1195,3500
155,2305,0,1195,3500
156,2305,0,1195,3500
157,2305,0,1195,3500
158,2305,0,1195,3500
159,2306,0,1194,3500
160,2306,0,1194,3500
161,2306,0,1194,3500
162,2306,0,1194,3500
163,2306,0,1194,3500
164,2307,0,1193,3500
165,2307,0,1193,3500
166,2307,0,1193,3500
167,2307,0,1193,3500
168,2307,0,1193,3500
169,2308,0,1192,3500
170,2308,0,1192,3500
171,2308,0,1192,3500
172,2308,0,1192,3500
173,2308,0,1192,3500
174,2309,0,1191,3500
175,2309,0,1191,3500
176,2309,0,1191,3500
177,2309,0,1191,3500
178,2310,0,1190,3500
179,2310,0,1190,3500
180,2310,0,1190,3500
181,2310,0,1190,3500
