Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,4090
1,0,2,337,4090
2,0,2,670,4090
3,0,2,1001,4090
4,0,189,1145,4090
5,0,518,1147,4090
6,0,845,1149,4090
7,0,1172,1151,4090
8,0,1496,1153,4090
9,0,1815,1157,0
10,0,2132,1159,0
11,0,2444,1161,0
12,0,2754,1163,0
13,0,2924,1166,0
14,0,2920,1170,0
15,0,2918,1172,0
16,0,2916,1174,0
17,0,2914,1176,0
18,0,2912,1178,0
19,0,2908,1182,0
20,0,2906,1184,0
21,0,2905,1185,0
22,0,2904,1186,0
23,0,2902,1188,0
24,0,2898,1192,0
25,0,2896,1194,0
26,0,2894,1196,0
27,0,2892,1198,0
28,0,2891,1199,0
29,0,2891,1199,0
30,0,2891,1199,0
31,0,2891,1199,0
32,0,2891,1199,0
33,0,2891,1199,0
34,0,2890,1200,0
35,0,2888,1202,0
36,0,2886,1204,0
37,0,2885,1205,0
38,0,2883,1207,0
39,0,2875,1215,0
40,0,2873,1217,0
41,0,2871,1219,0
42,0,2869,1221,0
43,0,2868,1222,0
44,0,2868,1222,0
45,0,2868,1222,0
46,0,2868,1222,0
47,0,2868,1222,0
48,0,2868,1222,0
49,0,2868,1222,0
50,0,2868,1222,0
51,0,2868,1222,0
52,0,2868,1222,0
53,1,2868,1221,0
54,1,2868,1221,0
55,1,2868,1221,0
56,1,2868,1221,0
57,1,2868,1221,0
58,1,2868,1221,0
59,1,2868,1221,0
60,2,2868,1220,0
61,2,2868,1220,0
62,3,2868,1219,0
63,4,2868,1218,0
64,7,2868,1215,0
65,9,2868,1213,0
66,9,2868,1213,0
67,9,2867,1214,0
68,9,2865,1216,0
69,11,2836,1243,0
70,11,2834,1245,0
71,11,2832,1247,0
72,11,2830,1249,0
73,11,2830,1249,0
74,14,2828,1248,0
75,16,2826,1248,0
76,18,2765,1307,0
77,18,2765,1307,4090
78,18,2765,1307,4090
79,20,2765,1305,4090
80,20,2765,1305,4090
81,20,2765,1305,4090
82,20,2765,1305,4090
83,20,2765,1305,4090
84,22,2765,1303,4090
85,22,2765,1303,4090
86,22,2765,1303,4090
87,22,2765,1303,4090
88,22,2765,1303,4090
89,24,2765,1301,4090
90,24,2765,1301,4090
91,26,2765,1299,4090
92,31,2765,1294,4090
93,33,2765,1292,4090
94,36,2765,1289,4090
95,38,2765,1287,4090
96,39,2765,1286,4090
97,39,2765,1286,4090
98,39,2765,1286,4090
99,41,2765,1284,4090
100,41,2765,1284,4090
101,41,2765,1284,4090
102,41,2765,1284,4090
103,41,2765,1284,4090
104,43,2765,1282,4090
105,43,2765,1282,4090
106,43,2765,1282,4090
107,43,2765,1282,4090
108,43,2765,1282,4090
109,47,2765,1278,4090
110,49,2765,1276,4090
111,51,2765,1274,4090
112,53,2765,1272,4090
113,53,2765,1272,4090
114,56,2765,1269,4090
115,57,2765,1268,4090
116,58,2765,1267,4090
117,58,2765,1267,4090
118,59,2765,1266,4090
119,63,2765,1262,4090
120,65,2765,1260,4090
121,66,2765,1259,4090
122,68,2765,1257,4090
